Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
0.48,1.29,0.17,0.57,R
0.31,0.98,0.1,0.37,R
0.42,1.14,0.07,0.2,R
0.43,1.18,0.1,0.41,R
1.0,1.21,0.88,0.65,S
0.51,1.0,0.35,0.47,R
1.13,0.98,0.61,0.03,P
0.74,1.69,0.52,1.39,S
0.52,1.64,0.38,1.58,S
1.24,1.28,1.21,0.74,S
0.98,0.66,1.67,0.06,P
1.47,0.81,1.98,0.04,P
0.61,0.93,0.25,0.4,R
0.47,1.14,0.32,0.44,R
1.18,1.23,1.21,0.92,S
1.25,0.82,2.32,0.31,S
1.46,1.23,1.32,0.68,S
1.47,1.03,1.81,0.51,S
0.34,1.17,0.08,0.47,R
0.91,0.62,0.83,0.05,P
0.85,1.3,1.01,0.81,S
0.4,1.0,0.17,0.45,R
1.16,1.14,1.35,0.76,S
1.34,0.96,2.41,0.45,S
0.41,1.07,0.29,0.51,R
0.51,1.06,0.28,0.83,R
0.58,1.38,0.25,0.9,R
1.64,0.98,1.98,0.03,P
0.44,1.34,0.12,0.49,R
1.06,0.96,0.98,0.51,S
0.38,0.87,0.08,0.19,R
0.4,1.09,0.15,0.47,R
1.18,1.35,0.97,1.04,S
0.8,0.55,0.6,0.05,P
1.28,0.83,1.06,0.14,P
1.16,1.14,0.88,0.61,S
0.4,1.36,0.1,0.79,R
1.61,1.25,2.0,0.62,S
0.88,1.42,0.87,1.47,S
0.34,0.86,0.1,0.23,R
0.64,0.9,0.62,0.57,R
0.35,1.07,0.11,0.35,R
0.43,0.98,0.13,0.37,R
1.18,1.12,1.33,0.91,S
0.86,0.96,0.73,0.38,S
0.74,0.58,0.42,0.04,P
0.59,0.4,0.52,0.03,P
1.16,1.33,0.88,1.08,S
1.14,1.11,1.06,0.47,S
0.41,0.74,0.13,0.26,R
0.56,1.61,0.15,0.82,R
1.69,1.0,2.3,0.46,S
0.82,0.55,0.61,0.04,P
0.33,1.06,0.1,0.36,R
0.35,1.13,0.09,0.31,R
1.02,0.52,1.02,0.05,P
1.26,0.61,1.44,0.1,P
0.46,1.03,0.17,0.42,R
0.91,0.43,0.86,0.03,P
1.02,0.79,1.58,0.26,S
1.11,0.82,1.86,0.12,P
1.01,0.89,1.01,0.9,S
0.33,1.17,0.07,0.35,R
1.17,1.41,0.78,1.11,S
0.92,0.44,1.08,0.03,P
0.64,1.46,0.5,0.94,R
1.07,1.24,0.91,0.39,S
0.78,0.52,0.65,0.05,P
1.52,1.39,2.13,0.62,S
0.44,0.71,0.29,0.43,R
1.1,0.82,0.94,0.04,P
1.62,1.31,1.42,0.91,S
