Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
1.03,1.56,0.79,1.31,S
1.54,0.81,1.81,0.45,R
0.46,1.48,0.26,1.14,R
1.72,1.18,2.43,0.45,S
0.33,1.06,0.1,0.36,R
1.01,0.52,1.34,0.12,P
2.47,1.33,3.87,0.78,S
0.61,2.25,0.14,0.98,R
0.61,2.01,0.16,0.71,R
1.48,1.56,1.75,1.64,S
0.33,1.19,0.09,0.42,R
0.54,1.86,0.23,1.17,S
1.06,0.92,0.04,0.25,R
1.48,1.59,1.71,1.91,S
1.48,1.16,2.82,0.65,S
1.61,1.25,2.0,0.62,S
1.0,1.21,0.88,0.65,S
0.65,1.62,0.2,1.0,R
1.81,1.59,2.02,1.24,S
1.15,1.11,1.69,1.17,S
1.33,1.61,1.34,1.34,S
0.89,1.94,0.22,1.83,S
1.88,0.99,1.81,0.12,P
1.64,0.98,1.98,0.03,P
1.98,1.0,2.9,0.35,S
1.13,0.98,0.61,0.03,P
0.75,0.59,0.79,0.04,P
1.14,1.01,1.53,0.34,S
0.84,0.52,0.84,0.08,P
1.17,0.61,1.02,0.12,P
2.28,0.9,4.99,0.67,S
0.99,0.43,1.32,0.09,P
1.1,0.46,1.45,0.05,P
1.39,1.3,1.33,0.96,R
1.09,0.71,1.25,0.02,S
2.16,0.59,3.21,0.16,P
0.63,1.49,0.31,1.19,R
1.15,0.99,1.08,0.72,P
1.01,0.63,1.1,0.06,P
1.18,1.35,0.97,1.04,S
0.64,0.9,0.62,0.57,R
1.37,0.49,1.08,0.07,P
0.86,0.58,0.63,0.06,P
1.14,0.58,0.98,0.07,P
1.18,1.23,1.21,0.92,S
0.6,1.34,0.51,0.83,R
0.37,1.44,0.15,1.0,R
1.52,1.39,2.13,0.62,S
1.22,1.3,1.6,1.23,S
0.91,0.71,0.76,0.06,S
1.14,0.51,1.5,0.1,P
1.69,1.0,2.3,0.46,S
0.8,0.55,0.6,0.05,P
0.92,0.44,1.08,0.03,P
1.61,0.78,1.84,0.09,P
0.78,3.24,0.58,1.82,R
0.72,2.08,0.51,0.93,R
0.95,1.87,1.21,1.76,S
0.51,1.77,0.21,1.35,R
0.86,1.8,0.13,0.71,R
0.31,0.98,0.1,0.37,R
1.3,1.8,1.11,1.84,S
0.62,1.91,0.46,1.64,R
0.68,1.38,0.43,1.12,R
1.05,1.04,0.56,0.35,S
0.95,1.09,1.64,0.51,S
1.24,1.28,1.21,0.74,S
0.74,0.58,0.42,0.04,P
1.17,1.41,0.78,1.11,S
1.81,0.47,1.53,0.06,P
0.32,1.54,0.13,0.97,R
0.38,0.87,0.08,0.19,R
0.83,1.35,0.09,0.37,R
0.43,1.18,0.1,0.41,R
1.24,1.49,1.69,1.04,S
0.69,1.26,0.11,0.81,R
1.98,1.02,2.6,0.29,S
0.59,0.4,0.52,0.03,P
0.57,1.37,0.35,1.19,S
1.01,0.61,0.87,0.14,P
0.86,0.66,0.43,0.07,P
0.52,1.64,0.38,1.58,S
1.02,0.52,1.02,0.05,P
1.45,1.47,1.45,0.5,S
0.76,1.09,0.07,0.33,R
0.94,1.94,0.89,1.49,S
0.91,0.62,0.83,0.05,P
2.32,1.15,3.28,0.53,S
1.22,0.61,2.13,0.03,S
1.73,1.02,2.05,0.57,S
0.85,1.3,1.01,0.81,S
1.57,1.65,1.94,1.68,S
0.43,0.98,0.13,0.37,R
0.59,1.26,0.71,1.33,S
0.38,1.49,0.16,0.65,R
0.89,1.59,0.78,1.2,S
0.52,1.08,0.36,0.49,R
1.16,1.14,0.88,0.61,S
1.65,1.54,2.54,1.37,S
0.95,1.72,1.12,1.25,S
0.66,1.19,1.11,0.58,S
1.22,1.44,1.59,0.99,S
2.4,0.91,3.44,0.19,P
1.63,0.82,1.93,0.31,R
1.26,0.61,1.44,0.1,P
1.14,1.75,1.31,1.42,S
0.58,1.18,0.09,0.59,R
1.25,0.58,0.82,0.04,P
2.16,1.01,3.16,0.54,S
0.67,1.03,1.1,0.41,S
0.43,1.63,0.2,1.2,R
2.59,0.84,4.28,0.39,S
1.18,1.15,0.67,0.79,S
0.78,0.52,0.65,0.05,P
0.78,0.62,0.61,0.09,P
1.22,1.65,0.98,1.29,S
1.37,1.16,0.76,0.62,P
1.23,1.11,1.37,0.47,R
1.11,0.82,1.86,0.12,P
0.34,1.17,0.08,0.47,R
2.29,1.11,3.74,0.78,S
1.12,0.39,1.11,0.03,P
1.47,1.03,1.81,0.51,S
0.64,1.4,0.56,0.84,S
0.4,1.0,0.17,0.45,R
1.09,0.99,1.51,0.43,P
0.58,1.92,0.23,1.53,S
1.38,0.58,1.82,0.06,P
0.47,1.14,0.32,0.44,R
0.98,0.73,0.88,0.09,P
1.46,0.99,1.91,0.57,S
0.57,1.07,0.14,0.45,R
1.26,1.05,0.75,0.52,S
