Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
0.06,0.17,0.01,0,50.56,50.33,51.73,154.4,
0.06,0.17,0,0,50.96,200,50.56,50.33,
0.06,0.17,0,0,65.12,51.83,50.96,200,
0.06,0.17,0,0,63.7,50.79,65.12,51.83,
0.06,0.18,0,0,145.21,51.41,63.7,50.79,
0.06,0.17,0,0,74.2,51,145.21,51.41,
0.06,0.17,0,0,54.61,151.62,74.2,51,
0.06,0.18,0,0,52.18,49.25,54.61,151.62,
0.06,0.18,0,0,33.51,153.84,52.18,49.25,
0.06,0.17,0,0,98.66,50.5,33.51,153.84,
0.06,0.17,0,0,139.77,48.73,98.66,50.5,
0.06,0.17,0,0,25.15,51.46,139.77,48.73,
0.06,0.17,0,0,102.59,49.61,25.15,51.46,
0.06,0.18,0,0,47.75,49.89,102.59,49.61,
0.06,0.18,0,0,76.18,48.81,47.75,49.89,
0.06,0.18,0,0,113.85,38.12,76.18,48.81,
0.06,0.17,0,0,50.14,151.85,113.85,38.12,
0.06,0.17,0,0,51.79,51.4,50.14,151.85,
0.07,0.18,0.01,0,83.45,53.1,51.79,51.4,
0.07,0.18,0.01,0,49.29,50.69,83.45,53.1,
0.07,0.18,0.01,0,200,153.57,49.29,50.69,
0.06,0.17,0.01,0,77.85,50.93,200,153.57,
0.06,0.17,0,0,73.19,52.07,77.85,50.93,
0.06,0.19,0,0,49.4,50.61,73.19,52.07,
0.06,0.19,0,0,89.08,25.09,49.4,50.61,
0.06,0.18,0,0,167.58,153.51,89.08,25.09,
0.06,0.18,0,0,146.07,150.95,167.58,153.51,
0.16,0.22,0.13,0.03,68.02,58.67,146.07,150.95,
0.6,0.78,0.69,0.53,63.5,109.34,68.02,58.67,
1.01,1.43,1.26,1.14,70.46,78.93,63.5,109.34,
1.22,1.44,1.59,0.99,83.38,174.45,70.46,78.93,S
1.24,1.49,1.69,1.04,68.96,81.77,83.38,174.45,S
1.13,1.45,1.5,1.21,116.01,190.01,68.96,81.77,S
1.17,1.28,1.27,1.2,87.04,137.3,116.01,190.01,
1.16,1.32,1.14,1.31,57.92,145.11,87.04,137.3,
1.1,1.26,1.17,0.9,100.03,200,57.92,145.11,
1.01,1.23,1.04,1.07,119.14,189.84,100.03,200,
0.78,1.02,0.66,0.85,69.37,134.03,119.14,189.84,
0.74,0.61,0.8,0.07,70.26,106.11,69.37,134.03,
1.06,0.58,1.42,0.07,33.29,174.94,70.26,106.11,P
1.25,0.7,1.35,0.11,71.44,94.97,33.29,174.94,P
1.11,0.61,1.17,0.11,101.77,112.07,71.44,94.97,P
1.06,0.57,1.32,0.12,97.67,144.23,101.77,112.07,
1.01,0.59,1.16,0.14,49.93,82.77,97.67,144.23,
0.94,0.54,1,0.09,58.55,95.23,49.93,82.77,
0.85,0.47,0.86,0.07,33.57,76.84,58.55,95.23,
0.72,0.45,0.57,0.08,94.77,76.94,33.57,76.84,
0.69,0.43,0.62,0.08,45.1,110.74,94.77,76.94,
0.72,0.42,0.74,0.06,55.67,53.61,45.1,110.74,
0.71,0.39,0.54,0.05,33.73,200,55.67,53.61,
0.53,0.32,0.31,0.03,58.49,52.96,33.73,200,
0.39,0.76,0.26,0.61,81.86,37.52,58.49,52.96,
0.57,1.41,0.55,1.22,69.86,175.52,81.86,37.52,
0.95,1.72,1.12,1.25,95.2,200,69.86,175.52,S
1.11,1.57,1.49,0.98,61.67,179.15,95.2,200,S
1.15,1.16,1.36,0.63,95.33,109.08,61.67,179.15,S
1.07,1.01,0.98,0.63,112.58,177.66,95.33,109.08,
0.94,0.96,0.95,0.72,132.32,101.73,112.58,177.66,
0.95,1.01,0.92,0.78,70.15,164.37,132.32,101.73,
1.05,1.04,0.98,0.69,82.64,164.82,70.15,164.37,
1.13,0.97,1.04,0.46,197.47,184.73,82.64,164.82,
1.03,0.95,1.18,0.41,91.04,186.24,197.47,184.73,
0.91,0.85,0.97,0.34,127.51,52.44,91.04,186.24,
0.68,0.87,0.4,0.3,68.08,87.33,127.51,52.44,
0.48,1.46,0.26,0.78,188.43,79.7,68.08,87.33,
0.49,1.87,0.23,1.33,79.06,61.48,188.43,79.7,
0.62,1.91,0.46,1.64,71.53,68.34,79.06,61.48,R
0.71,1.96,0.55,1.73,44.28,85.67,71.53,68.34,R
0.83,1.73,0.63,1.45,56.51,128.94,44.28,85.67,R
0.98,1.57,0.92,1.32,74.94,97.43,56.51,128.94,
0.97,1.58,0.89,1.32,63.42,143.37,74.94,97.43,
0.81,1.83,0.55,1.69,76.23,200,63.42,143.37,
0.59,1.93,0.32,2.01,125.66,129.08,76.23,200,
0.52,1.5,0.43,1.06,68.76,74.73,125.66,129.08,
1.07,1.38,1.53,1.13,84.44,200,68.76,74.73,
1.53,1.67,1.97,1.95,120.95,166.47,84.44,200,S
1.33,1.75,1.34,1.75,52.58,128.45,120.95,166.47,S
1.15,1.62,1.14,1.64,121.62,81.38,52.58,128.45,
1.06,1.46,1.07,1.68,72.59,200,121.62,81.38,
1.02,1.43,1.06,1.61,67.43,100.2,72.59,200,
1.02,1.38,0.89,1.25,89.68,115.32,67.43,100.2,
0.9,1.25,0.67,1.05,69.46,146.64,89.68,115.32,
0.87,1.25,0.76,1.18,112.97,107.25,69.46,146.64,
0.97,1.3,0.97,1.1,76.1,173.14,112.97,107.25,
0.91,1.11,0.79,0.77,76.06,64.94,76.1,173.14,
0.83,1.07,0.69,0.87,49.89,68.96,76.06,64.94,
0.87,1.24,0.65,1.09,38.71,196.08,49.89,68.96,
0.64,1.45,0.3,0.94,195.5,108.39,38.71,196.08,
0.44,1.85,0.24,1.3,72.34,38.2,195.5,108.39,
0.45,2.06,0.3,1.97,100.66,72.1,72.34,38.2,R
0.45,1.98,0.26,1.92,54.13,92.6,100.66,72.1,R
0.45,1.87,0.27,1.76,55.91,84.23,54.13,92.6,
0.43,1.74,0.25,1.6,58.77,72.42,55.91,84.23,
0.51,1.77,0.29,1.74,82.7,59.29,58.77,72.42,
0.52,2,0.29,2.18,75.03,31.71,82.7,59.29,
0.39,2.03,0.16,2.19,114.91,114.57,75.03,31.71,
0.46,1.71,0.57,1.51,46.46,128.14,114.91,114.57,
1.01,1.31,1.56,1.02,64.77,114.88,46.46,128.14,
1.48,1.56,1.75,1.64,51.82,182.38,64.77,114.88,S
