Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture,,,,,1,2,3,4
0.45,0.53,0.35,0.01,,,,,,0.58,0.25,0.61,0.01
0.38,0.62,0.15,0.01,,,,,,0.72,0.27,0.6,0.01
0.37,0.62,0.14,0.01,,,,,,0.51,0.25,0.14,0.01
0.51,0.54,0.27,0,,,,,,0.5,0.24,0.36,0.01
0.62,0.55,0.33,0.01,,,,,,0.64,0.23,0.52,0.01
0.68,0.56,0.34,0.01,,,,,,0.62,0.21,0.44,0
0.64,0.54,0.35,0.01,,,,,,0.82,0.22,0.82,0
0.53,0.51,0.39,0.01,,,,,,0.88,0.23,0.83,0.01
0.54,0.53,0.49,0.02,,,,,,0.65,0.23,0.36,0.01
0.49,0.56,0.37,0.01,,,,,,0.6,0.25,0.35,0.01
0.38,0.58,0.16,0.01,,,,,,0.56,0.25,0.32,0.01
0.39,0.56,0.25,0.02,,,,,,0.47,0.26,0.24,0.01
0.4,0.47,0.23,0.01,,,,,,0.46,0.24,0.36,0.01
0.39,0.37,0.08,0.01,,,,,,0.45,0.22,0.3,0
0.33,0.44,0.06,0.02,,,,,,0.4,0.21,0.13,0
0.22,0.52,0.06,0.01,,,,,,0.38,0.21,0.14,0
0.18,0.54,0.07,0.01,,,,,,0.37,0.22,0.2,0
0.16,0.45,0.05,0.01,,,,,,0.33,0.28,0.13,0
0.12,0.3,0.03,0,,,,,,0.32,0.42,0.14,0
0.21,0.27,0.11,0,,,,,,0.38,0.65,0.17,0
0.84,0.37,1.33,0.02,,,,,,0.38,0.71,0.12,0
1.22,0.61,2.13,0.03,,,,,,0.39,0.67,0.15,0
1.09,0.71,1.25,0.02,,,,,,0.44,0.75,0.19,0
0.76,0.6,0.38,0.01,S,,,,,0.48,0.68,0.19,0
0.29,0.42,0.03,0.01,S,,,,,0.49,0.43,0.16,0
0.12,0.35,0.02,0,S,,,,,0.36,0.27,0.11,0
0.08,0.31,0.01,0,S,,,,,0.28,0.28,0.1,0
0.07,0.21,0.01,0,,,,,,0.24,0.68,0.08,0
0.1,0.18,0.05,0,,,,,,0.18,1.44,0.05,0.01
0.53,0.5,0.68,0.33,,,,,,0.21,1.94,0.07,0.01
1.15,0.99,1.08,0.72,,,,,,0.19,1.94,0.06,0
1.37,1.16,0.76,0.62,P,,,,,0.13,1.64,0.02,0
1.24,1.09,0.58,0.49,P,,,,,0.1,1.44,0.01,0
1.02,1.1,0.53,0.5,P,,,,,0.09,1.23,0.02,0
0.89,1.2,0.69,0.44,P,,,,,0.09,0.94,0.02,0
0.8,1.23,0.74,0.41,P,,,,,0.09,1,0.01,0
0.72,1.21,0.66,0.58,P,,,,,0.08,1.16,0.01,0
0.63,1.08,0.69,0.52,,,,,,0.08,1.23,0.02,0
0.63,0.94,0.57,0.29,,,,,,0.16,1.25,0.12,0
0.63,0.84,0.35,0.35,,,,,,0.26,1.11,0.4,0.01
0.62,1.03,0.4,0.64,,,,,,0.55,0.87,0.55,0.04
