raw extension,env ext,raw flex,env flex
2.83,0.15,2.59,0.13
2.82,0.15,2.58,0.13
2.82,0.15,2.56,0.13
2.82,0.15,2.61,0.13
2.82,0.15,2.58,0.13
2.79,0.15,2.57,0.13
2.79,0.15,2.56,0.13
2.8,0.15,2.58,0.13
2.79,0.15,2.59,0.13
2.85,0.15,2.57,0.13
2.83,0.16,2.58,0.13
2.85,0.16,2.58,0.12
2.8,0.16,2.6,0.12
2.68,0.16,2.57,0.13
2.86,0.16,2.58,0.13
2.83,0.16,2.58,0.13
2.85,0.16,2.57,0.13
2.81,0.16,2.59,0.13
2.82,0.16,2.6,0.13
2.78,0.16,2.58,0.13
2.88,0.16,2.55,0.13
2.85,0.17,2.57,0.13
2.76,0.17,2.58,0.13
2.66,0.17,2.57,0.13
2.86,0.17,2.59,0.13
2.87,0.17,2.61,0.13
2.82,0.17,2.56,0.13
2.8,0.17,2.58,0.13
2.82,0.17,2.6,0.13
2.82,0.17,2.58,0.13
2.81,0.17,2.58,0.13
2.82,0.16,2.55,0.13
2.82,0.16,2.56,0.13
2.81,0.16,2.57,0.13
2.82,0.16,2.58,0.13
2.82,0.16,2.6,0.13
2.82,0.16,2.55,0.13
2.81,0.16,2.56,0.13
2.8,0.15,2.6,0.13
2.83,0.15,2.59,0.13
2.81,0.15,2.59,0.13
2.81,0.15,2.58,0.13
2.85,0.15,2.6,0.13
2.82,0.15,2.57,0.13
2.79,0.15,2.58,0.13
2.81,0.15,2.58,0.13
2.82,0.14,2.6,0.13
2.81,0.14,2.58,0.13
2.83,0.14,2.57,0.13
2.83,0.14,2.61,0.13
2.81,0.14,2.57,0.13
2.83,0.14,2.58,0.12
2.81,0.14,2.59,0.12
2.82,0.14,2.57,0.12
2.82,0.14,2.59,0.12
2.82,0.14,2.56,0.12
2.8,0.14,2.58,0.12
2.81,0.13,2.58,0.12
2.81,0.14,2.57,0.12
2.76,0.13,2.58,0.13
2.86,0.14,2.59,0.12
2.8,0.13,2.57,0.13
2.81,0.13,2.57,0.13
2.82,0.13,2.58,0.13
2.83,0.13,2.62,0.13
2.82,0.13,2.59,0.13
2.82,0.14,2.56,0.12
2.82,0.14,2.58,0.12
2.81,0.14,2.57,0.12
2.82,0.14,2.58,0.12
2.78,0.14,2.59,0.12
2.87,0.15,2.58,0.12
2.83,0.15,2.56,0.12
2.87,0.15,2.57,0.12
2.8,0.15,2.57,0.12
2.81,0.14,2.56,0.12
2.82,0.14,2.57,0.12
2.83,0.14,2.6,0.12
2.82,0.14,2.57,0.12
2.82,0.14,2.56,0.12
2.81,0.14,2.58,0.12
2.82,0.14,2.57,0.12
2.83,0.14,2.58,0.12
2.82,0.14,2.58,0.12
2.8,0.14,2.58,0.12
2.83,0.14,2.56,0.12
2.83,0.14,2.57,0.12
2.78,0.14,2.58,0.12
2.83,0.14,2.61,0.12
2.8,0.14,2.57,0.12
2.81,0.14,2.58,0.12
2.86,0.14,2.6,0.12
2.82,0.15,2.59,0.12
2.77,0.15,2.55,0.12
2.76,0.15,2.58,0.12
2.84,0.15,2.55,0.12
2.83,0.15,2.57,0.12
2.79,0.15,2.59,0.12
2.81,0.15,2.57,0.11
2.81,0.15,2.56,0.12
2.79,0.15,2.61,0.11
2.8,0.15,2.59,0.11
2.85,0.15,2.55,0.11
2.81,0.15,2.54,0.12
2.82,0.15,2.6,0.12
2.81,0.15,2.59,0.12
2.82,0.15,2.59,0.12
2.83,0.15,2.56,0.12
2.83,0.15,2.59,0.12
2.81,0.15,2.61,0.12
2.83,0.15,2.55,0.12
2.82,0.15,2.61,0.12
2.76,0.15,2.6,0.12
2.83,0.15,2.55,0.12
2.84,0.15,2.58,0.12
2.82,0.15,2.59,0.12
2.8,0.16,2.57,0.11
2.77,0.16,2.61,0.12
2.78,0.16,2.58,0.12
2.83,0.16,2.55,0.12
2.8,0.15,2.55,0.12
2.77,0.16,2.56,0.13
2.83,0.15,2.58,0.13
2.88,0.16,2.59,0.14
2.88,0.17,2.6,0.13
2.84,0.19,2.63,0.13
2.68,0.19,2.57,0.13
2.69,0.21,2.58,0.13
2.91,0.21,2.56,0.13
2.79,0.21,2.58,0.14
2.83,0.21,2.62,0.14
2.82,0.2,2.55,0.14
2.82,0.2,2.6,0.14
2.83,0.19,2.63,0.14
2.81,0.19,2.62,0.14
2.82,0.19,2.64,0.16
2.8,0.19,2.47,0.16
2.81,0.19,2.5,0.18
2.81,0.18,2.62,0.18
2.8,0.18,2.53,0.17
2.8,0.18,2.61,0.18
2.83,0.17,2.6,0.18
2.83,0.17,2.63,0.17
2.81,0.17,2.69,0.18
2.83,0.18,2.6,0.19
2.81,0.18,2.51,0.2
2.8,0.17,2.47,0.2
2.82,0.17,2.52,0.2
