,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,2.5,0.06,5.44,3.2,,2.5,0.06,5.44,3.2,,2.54,0.27,5.48,3.44
,,2.5,0.06,5.49,3.19,,2.5,0.06,5.49,3.19,,2.63,0.3,5.49,3.44
,,2.54,0.06,5.46,3.19,,2.54,0.06,5.46,3.19,,1.73,0.35,5.41,3.46
,,2.47,0.06,5.48,3.2,,2.47,0.06,5.48,3.2,,3.11,0.37,5.48,3.49
,,2.43,0.06,5.51,3.21,,2.43,0.06,5.51,3.21,,2.53,0.42,5.42,3.52
,,2.51,0.07,5.44,3.2,,2.51,0.07,5.44,3.2,,2.72,0.39,5.45,3.56
,,2.48,0.07,5.5,3.2,,2.48,0.07,5.5,3.2,,2.44,0.35,5.44,3.59
,,2.54,0.06,5.46,3.2,,2.54,0.06,5.46,3.2,,2.55,0.3,5.47,3.63
,,2.46,0.06,5.46,3.2,,2.46,0.06,5.46,3.2,,2.54,0.27,5.54,3.65
,,2.42,0.06,5.46,3.21,,2.42,0.06,5.46,3.21,,2.17,0.28,5.46,3.66
,,2.49,0.06,5.46,3.2,,2.49,0.06,5.46,3.2,,2.37,0.3,5.55,3.68
,,2.52,0.07,5.49,3.21,,2.52,0.07,5.49,3.21,,2.56,0.26,5.41,3.67
,,2.54,0.07,5.45,3.2,,2.54,0.07,5.45,3.2,,2.45,0.24,5.37,3.69
,,2.47,0.06,5.45,3.2,,2.47,0.06,5.45,3.2,,2.61,0.25,5.5,3.72
,,2.54,0.07,5.47,3.2,,2.54,0.07,5.47,3.2,,2.64,0.24,5.44,3.74
,,2.43,0.06,5.44,3.2,,2.43,0.06,5.44,3.2,,2.74,0.22,5.53,3.74
,,2.48,0.06,5.4,3.2,,2.48,0.06,5.4,3.2,,2.59,0.24,5.44,3.73
,,2.45,0.06,5.49,3.21,,2.45,0.06,5.49,3.21,,2.84,0.24,5.45,3.74
,,2.48,0.06,5.46,3.21,,2.48,0.06,5.46,3.21,,2.11,0.29,5.45,3.73
,,2.58,0.06,5.51,3.21,,2.58,0.06,5.51,3.21,,2.53,0.3,5.46,3.75
,,2.5,0.07,5.53,3.24,,2.5,0.07,5.53,3.24,,2.54,0.26,5.51,3.76
,,2.51,0.06,5.49,3.24,,2.51,0.06,5.49,3.24,,2.5,0.25,5.4,3.77
,,2.49,0.06,5.47,3.23,,2.49,0.06,5.47,3.23,,2.22,0.24,5.35,3.79
,,2.46,0.07,5.48,3.23,,2.46,0.07,5.48,3.23,,2.29,0.24,5.46,3.79
,,2.63,0.06,5.46,3.23,,2.63,0.06,5.46,3.23,,2.39,0.24,5.45,3.78
,,2.51,0.07,5.45,3.23,,2.51,0.07,5.45,3.23,,2.49,0.23,5.51,3.78
,,2.49,0.06,5.5,3.22,,2.49,0.06,5.5,3.22,,2.46,0.25,5.38,3.76
,,2.47,0.06,5.46,3.21,,2.47,0.06,5.46,3.21,,2.9,0.27,5.52,3.77
,,2.48,0.06,5.41,3.22,,2.48,0.06,5.41,3.22,,2.58,0.41,5.49,3.77
,,2.53,0.07,5.49,3.23,,2.53,0.07,5.49,3.23,,2.42,0.39,5.41,3.79
,,2.57,0.07,5.47,3.22,,2.57,0.07,5.47,3.22,,2.47,0.35,5.49,3.81
,,2.45,0.07,5.4,3.22,,2.45,0.07,5.4,3.22,,2.57,0.3,5.42,3.78
,,2.62,0.07,5.51,3.26,,2.62,0.07,5.51,3.26,,2.46,0.27,5.46,3.79
,,2.54,0.07,5.44,3.24,,2.54,0.07,5.44,3.24,,2.54,0.24,5.48,3.79
,,2.38,0.07,5.45,3.23,,2.38,0.07,5.45,3.23,,2.16,0.3,5.47,3.78
,,2.68,0.06,5.48,3.22,,2.68,0.06,5.48,3.22,,2.23,0.31,5.5,3.78
,,2.5,0.07,5.44,3.22,,2.5,0.07,5.44,3.22,,2.48,0.34,5.39,3.79
,,2.44,0.07,5.46,3.23,,2.44,0.07,5.46,3.23,,2.41,0.3,5.5,3.79
,,2.52,0.06,5.5,3.22,,2.52,0.06,5.5,3.22,,2.44,0.28,5.56,3.79
,,2.47,0.06,5.46,3.22,,2.47,0.06,5.46,3.22,,2.58,0.25,5.47,3.76
,,2.5,0.07,5.48,3.22,,2.5,0.07,5.48,3.22,,2.47,0.22,5.48,3.76
,,2.44,0.07,5.49,3.21,,2.44,0.07,5.49,3.21,,2.52,0.2,5.45,3.74
,,2.49,0.07,5.46,3.21,,2.49,0.07,5.46,3.21,,1.92,0.24,5.47,3.74
,,2.48,0.07,5.43,3.21,,2.48,0.07,5.43,3.21,,2.61,0.32,5.51,3.75
,,2.51,0.07,5.44,3.2,,2.51,0.07,5.44,3.2,,2.5,0.28,5.46,3.73
,,2.55,0.07,5.46,3.21,,2.55,0.07,5.46,3.21,,2.34,0.25,5.51,3.71
,,2.43,0.06,5.48,3.2,,2.43,0.06,5.48,3.2,,2.54,0.26,5.39,3.68
,,2.49,0.06,5.49,3.22,,2.49,0.06,5.49,3.22,,2.35,0.24,5.45,3.69
,,2.53,0.06,5.42,3.21,,2.53,0.06,5.42,3.21,,2.44,0.24,5.47,3.68
,,2.52,0.06,5.42,3.2,,2.52,0.06,5.42,3.2,,2.69,0.26,5.43,3.69
,,2.72,0.05,5.49,3.2,,2.72,0.05,5.49,3.2,,2.6,0.26,5.5,3.72
,,2.49,0.06,5.42,3.2,,2.49,0.06,5.42,3.2,,2.47,0.25,5.44,3.71
,,2.56,0.06,5.47,3.19,,2.56,0.06,5.47,3.19,,2.43,0.24,5.48,3.7
,,2.44,0.06,5.47,3.2,,2.44,0.06,5.47,3.2,,2.46,0.22,5.48,3.7
