Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.52,0.07,2.49,0.2,0,0,0,0
2.53,0.07,2.48,0.2,0,0,0,0
2.52,0.07,2.48,0.2,0,0,0,0
2.52,0.07,2.49,0.2,0,0,0,0
2.52,0.11,2.49,0.22,0.01,0,0,0
2.52,0.15,2.48,0.22,0.01,0,0,0
2.52,0.33,2.49,0.24,0.11,0.05,0,0
2.52,0.81,2.48,0.39,0.24,0.08,0.01,0.01
2.51,0.97,2.47,0.73,0.31,0.03,0.03,0.02
2.55,0.78,2.47,1.06,0.3,0.01,0.03,0.01
2.55,0.64,2.48,1,0.2,0.01,0.02,0.01
2.53,0.53,2.49,0.67,0.12,0.01,0.01,0.01
2.55,0.49,2.48,0.45,0.09,0,0.01,0
2.53,0.44,2.48,0.37,0.08,0,0.01,0
2.51,0.36,2.49,0.31,0.07,0,0,0
2.52,0.63,2.48,0.27,0.17,0.09,0,0
2.6,1.95,2.47,0.43,0.9,0.32,0.05,0.01
2.59,2.58,2.47,0.57,1.3,0.3,0.06,0.01
2.48,1.89,2.49,0.65,1.05,0.09,0.01,0
2.46,1.5,2.49,0.75,0.77,0.02,0.01,0
2.5,1.32,2.49,0.69,0.51,0.02,0.01,0
2.47,1.24,2.48,0.57,0.45,0.01,0.01,0
2.44,1.22,2.48,0.57,0.36,0.01,0.01,0
2.51,1.22,2.49,0.56,0.3,0.01,0.01,0
2.53,1.11,2.48,0.46,0.32,0.04,0.01,0
2.52,2.3,2.48,0.49,0.3,0.9,0.02,0.02
2.51,3.16,2.48,0.65,0.24,1.3,0.04,0.02
2.52,1.97,2.48,0.7,0.35,0.45,0.04,0.01
2.53,1.45,2.47,0.58,0.37,0.02,0.02,0.01
2.5,1.53,2.48,0.46,0.2,0.02,0.01,0
2.54,1.16,2.48,0.48,0.12,0.02,0.01,0
2.54,0.76,2.49,0.52,0.1,0.01,0.01,0
2.51,0.53,2.48,0.52,0.09,0,0.01,0
2.49,1.08,2.48,0.62,0.52,0.2,0.03,0
2.5,1.9,2.48,0.79,0.79,0.22,0.05,0
2.56,1.91,2.48,0.7,0.8,0.05,0.03,0.01
2.54,1.48,2.5,0.52,0.82,0.05,0.02,0
2.47,1.17,2.5,0.44,0.58,0.02,0.01,0
2.51,1.06,2.49,0.36,0.44,0.01,0.01,0
2.53,1,2.49,0.35,0.39,0.01,0.01,0
2.5,0.92,2.48,0.38,0.35,0.01,0.01,0
2.52,0.81,2.48,0.34,0.21,0.02,0.01,0
2.54,2.51,2.48,0.34,0.11,0.56,0.01,0
2.5,3.93,2.49,0.45,0.14,1.26,0.01,0.01
2.53,2.75,2.48,0.61,0.2,0.79,0.02,0.01
2.58,2.15,2.48,0.58,0.21,0.08,0.02,0
2.55,2.08,2.48,0.45,0.18,0.03,0.01,0
2.53,1.5,2.48,0.39,0.14,0.04,0.01,0
2.5,1,2.48,0.38,0.14,0.02,0.01,0
2.49,0.71,2.48,0.39,0.18,0.01,0.01,0
2.48,0.56,2.49,0.4,0.16,0,0.01,0
2.49,0.9,2.49,0.38,0.45,0.29,0.01,0
2.47,1.66,2.49,0.59,0.84,0.3,0.01,0.03
2.47,1.77,2.49,1.04,0.76,0.03,0.01,0.03
2.54,1.52,2.48,1.14,0.6,0.02,0.01,0.01
2.54,1.28,2.49,0.84,0.48,0.02,0.01,0.01
2.55,1.11,2.48,0.54,0.38,0.01,0.01,0.01
2.57,1.09,2.48,0.35,0.26,0.01,0,0
2.55,1.07,2.48,0.29,0.33,0.02,0.01,0
2.54,1.03,2.48,0.3,0.39,0.01,0,0
2.54,0.75,2.48,0.46,0.2,0.01,0.02,0.02
2.58,0.86,2.49,0.89,0.38,0.01,0.04,0.03
2.53,1.22,2.51,1.45,0.69,0.03,0.04,0.02
2.48,1.19,2.48,1.59,0.54,0.02,0.02,0.02
2.52,1.05,2.47,1.11,0.35,0.02,0.01,0.03
2.54,0.91,2.48,0.6,0.24,0.02,0.01,0.01
2.54,0.8,2.49,0.53,0.24,0.02,0.02,0
2.53,0.86,2.49,0.63,0.37,0.03,0.02,0
2.54,0.76,2.47,0.67,0.24,0.02,0.01,0
2.58,1.98,2.48,0.81,0.12,1.29,0.01,0.01
2.53,3.56,2.49,1.29,0.27,1.84,0,0.02
2.54,2.77,2.49,1.61,0.36,0.58,0,0.01
2.57,1.89,2.48,1.33,0.36,0.03,0,0.01
2.52,1.91,2.49,0.98,0.27,0.01,0,0.01
2.55,1.74,2.49,0.79,0.17,0.01,0,0
2.53,1.5,2.48,0.61,0.27,0.01,0,0
2.53,1.16,2.48,0.43,0.27,0.01,0,0
2.54,0.89,2.48,0.31,0.15,0.01,0,0
2.53,0.93,2.49,0.41,0.15,0.01,0.02,0.01
2.49,1.21,2.49,0.89,0.38,0.02,0.05,0.02
2.46,1.37,2.48,1.4,0.54,0.03,0.04,0.02
2.49,1.19,2.47,1.61,0.41,0.02,0.02,0.02
2.5,1.23,2.47,1.31,0.4,0.03,0.01,0.03
2.52,1.36,2.48,0.75,0.5,0.04,0.01,0.02
2.51,1.27,2.48,0.42,0.5,0.02,0.01,0.01
2.51,1.23,2.48,0.36,0.36,0.02,0.01,0
2.54,1.25,2.48,0.36,0.18,0.51,0.01,0
2.51,2.77,2.49,0.68,0.2,0.79,0,0.08
2.53,2.95,2.49,1.27,0.25,0.31,0.01,0.08
2.56,1.72,2.49,1.39,0.26,0.06,0.01,0.01
2.52,1.46,2.49,1.14,0.3,0.05,0.01,0.01
2.56,1.2,2.49,0.9,0.36,0.04,0.01,0
2.56,1.24,2.48,0.73,0.33,0.02,0.01,0
2.5,1.2,2.48,0.58,0.25,0.01,0,0
2.51,1.12,2.48,0.41,0.26,0.01,0,0
2.51,0.96,2.49,0.34,0.16,0.01,0.01,0.01
2.52,1.17,2.49,0.62,0.12,0.01,0.04,0.01
2.53,1.32,2.49,1.17,0.16,0.02,0.07,0.04
2.52,0.95,2.51,1.55,0.12,0.01,0.05,0.04
2.52,0.62,2.5,1.27,0.12,0.01,0.02,0.03
2.55,0.48,2.5,0.68,0.11,0,0.01,0.02
2.56,0.41,2.49,0.48,0.08,0,0.01,0
2.53,0.39,2.49,0.57,0.07,0,0.01,0
2.52,0.37,2.48,0.63,0.05,0,0.01,0
2.55,0.54,2.48,0.67,0.24,0.16,0.01,0
2.46,1.66,2.48,0.93,1.01,0.19,0.01,0.03
2.38,2.49,2.48,1.45,1.25,0.21,0.01,0.03
2.43,3.57,2.48,1.63,0.79,0.17,0.01,0.01
2.45,4.55,2.48,1.31,0.45,0.18,0.01,0.02
2.49,3,2.49,0.88,0.35,0.3,0.01,0.01
2.56,1.38,2.48,0.52,0.32,0.13,0.01,0.01
2.59,1.18,2.48,0.35,0.28,0.01,0,0
2.54,1.19,2.49,0.35,0.32,0.01,0,0
2.55,1.18,2.49,0.44,0.23,0.01,0,0
2.6,1.12,2.5,1.11,0.25,0.04,0.18,0.25
2.64,2.59,2.5,1.93,0.32,0.4,0.24,0.28
2.57,4.45,2.47,2.64,0.36,0.37,0.09,0.06
2.45,4.74,2.47,3,0.32,0.01,0.05,0.04
2.45,3.59,2.48,2.35,0.26,0.43,0.03,0.09
2.51,1.7,2.49,1.29,0.27,0.45,0.02,0.08
2.58,0.85,2.48,0.63,0.2,0.02,0.02,0.02
2.59,0.81,2.49,0.51,0.14,0.01,0.02,0
2.5,1.27,2.49,0.56,0.17,0.43,0.02,0
2.48,3.19,2.5,0.88,0.18,0.43,0.09,0.03
2.56,4.73,2.51,1.23,0.14,0.01,0.17,0.03
2.55,4.42,2.5,1.31,0.09,0.08,0.19,0.01
2.52,3.5,2.5,1.22,0.1,0.11,0.15,0.01
2.52,2.61,2.5,1.2,0.09,0.04,0.12,0.01
2.52,2.14,2.49,1.17,0.07,0.01,0.1,0.01
2.53,1.89,2.45,1.23,0.06,0,0.22,0.12
2.55,1.7,2.47,1.65,0.05,0,0.48,0.14
2.55,1.91,2.5,1.48,0.33,0.13,0.35,0.05
