Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
0.45,0.53,0.35,0.01,
0.38,0.62,0.15,0.01,
0.37,0.62,0.14,0.01,
0.51,0.54,0.27,0,
0.62,0.55,0.33,0.01,
0.68,0.56,0.34,0.01,
0.64,0.54,0.35,0.01,
0.53,0.51,0.39,0.01,
0.54,0.53,0.49,0.02,
0.49,0.56,0.37,0.01,
0.38,0.58,0.16,0.01,
0.39,0.56,0.25,0.02,
0.4,0.47,0.23,0.01,
0.39,0.37,0.08,0.01,
0.33,0.44,0.06,0.02,
0.22,0.52,0.06,0.01,
0.18,0.54,0.07,0.01,
0.16,0.45,0.05,0.01,
0.12,0.3,0.03,0,
0.21,0.27,0.11,0,
0.84,0.37,1.33,0.02,S
1.22,0.61,2.13,0.03,S
1.09,0.71,1.25,0.02,S
0.76,0.6,0.38,0.01,
0.29,0.42,0.03,0.01,
0.12,0.35,0.02,0,
0.08,0.31,0.01,0,
0.07,0.21,0.01,0,
0.1,0.18,0.05,0,
0.53,0.5,0.68,0.33,
1.15,0.99,1.08,0.72,P
1.37,1.16,0.76,0.62,P
1.24,1.09,0.58,0.49,
1.02,1.1,0.53,0.5,
0.89,1.2,0.69,0.44,
0.8,1.23,0.74,0.41,
0.72,1.21,0.66,0.58,
0.63,1.08,0.69,0.52,
0.63,0.94,0.57,0.29,
0.63,0.84,0.35,0.35,
0.62,1.03,0.4,0.64,
0.67,0.96,0.63,0.46,
1.01,0.65,1.09,0.05,S
1.23,0.71,1.09,0.05,S
0.91,0.71,0.76,0.06,S
0.67,0.61,0.61,0.05,
0.53,0.54,0.33,0.03,
0.46,0.5,0.37,0.03,
0.47,0.48,0.37,0.02,
0.44,0.47,0.19,0.03,
0.44,0.46,0.32,0.05,
0.48,0.41,0.42,0.04,
0.46,0.34,0.24,0.02,
0.49,0.92,0.34,1.84,
0.66,2.76,0.53,3.07,R
0.78,3.24,0.58,1.82,R
0.72,2.08,0.51,0.93,R
0.68,1.53,0.46,0.63,
0.65,1.25,0.54,0.46,
0.58,1.03,0.45,0.36,
0.55,1.06,0.43,0.46,
0.56,1.15,0.62,0.49,
0.61,1.14,0.6,0.65,
0.62,1.16,0.5,0.57,
0.6,1.09,0.41,0.24,
0.61,0.81,0.28,0.17,
0.78,1.06,0.32,0.68,
0.98,1.67,0.29,0.96,
0.88,2.02,0.19,0.83,
0.68,2.09,0.21,1.17,S
0.58,1.92,0.23,1.53,S
0.54,1.86,0.23,1.17,S
0.51,1.64,0.23,0.77,
0.5,1.38,0.21,0.74,
0.49,1.23,0.18,0.52,
0.41,1.25,0.17,0.83,
0.34,1.34,0.13,0.99,
0.34,1.16,0.3,0.54,
0.68,0.99,1.25,0.39,
1.25,1.19,1.68,0.96,R
1.39,1.3,1.33,0.96,R
1.2,1.14,1.04,0.57,
0.94,1.11,0.52,0.63,
0.82,1.19,0.44,0.96,
0.78,1.12,0.67,0.84,
0.71,0.98,0.86,0.43,
0.64,0.95,0.72,0.56,
0.58,1,0.56,0.68,
0.56,0.97,0.57,0.58,
0.55,0.93,0.42,0.41,
0.62,0.97,0.46,0.37,
0.59,0.86,0.5,0.23,
0.67,1.06,0.31,0.43,
0.9,1.51,0.14,1.26,
0.89,1.94,0.22,1.83,S
0.68,2.04,0.32,1.42,S
0.54,1.68,0.27,1.08,
0.47,1.52,0.25,1.27,
0.4,1.54,0.2,1.21,
0.35,1.47,0.11,1.15,
0.36,1.33,0.17,1.03,
0.38,1.29,0.24,0.8,
0.37,1.27,0.24,0.69,
