Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
1.55,1.17,2.13,0.63,S
0.86,0.66,0.43,0.07,P
0.89,0.64,0.96,0.11,P
0.58,1.13,0.45,0.7,R
1.48,0.52,2.28,0.07,P
0.59,1.06,0.1,0.4,R
0.58,2.19,0.08,0.67,R
0.58,1.18,0.09,0.59,R
1.25,0.58,0.82,0.04,P
0.75,0.59,0.79,0.04,P
0.91,0.71,0.76,0.06,S
1.01,1.25,0.16,0.59,R
0.86,0.58,0.63,0.06,P
2.27,1.01,3.31,0.59,S
1.25,0.45,0.7,0.07,P
0.72,2.08,0.51,0.93,R
1.01,0.63,1.1,0.06,P
0.81,1.39,0.21,0.68,R
1.88,0.99,1.81,0.12,P
1.25,1.19,1.68,0.96,R
0.83,1.84,0.08,0.68,R
0.72,1.14,0.68,0.37,R
2.07,1.01,2.87,0.41,S
0.38,1.49,0.16,0.65,R
1.01,0.65,1.09,0.05,S
0.32,1.04,0.06,0.37,R
1.07,0.97,0.58,0.49,S
1.15,0.99,1.08,0.72,P
0.89,1.27,0.14,0.61,R
0.92,1.22,0.57,0.34,P
0.6,1.34,0.51,0.83,R
1.42,1.0,1.8,0.35,S
0.76,1.09,0.07,0.33,R
0.86,1.8,0.13,0.71,R
0.68,2.04,0.32,1.42,S
0.58,1.92,0.23,1.53,S
2.2,0.95,4.05,0.5,S
1.95,0.95,2.61,0.17,S
0.41,2.12,0.11,0.86,R
1.16,0.97,0.07,0.38,R
0.5,1.78,0.13,0.95,R
1.86,0.84,2.46,0.27,S
1.7,1.36,2.03,0.17,P
0.99,1.29,0.58,0.73,R
0.85,1.57,0.64,1.01,R
0.89,1.94,0.22,1.83,S
0.66,1.19,1.11,0.58,S
0.41,2.35,0.23,2.8,S
0.52,1.08,0.36,0.49,R
1.38,1.1,0.89,0.69,S
0.68,1.38,0.43,1.12,R
0.8,1.43,0.07,0.57,R
1.81,0.47,1.53,0.06,P
1.23,1.11,1.37,0.47,R
1.86,0.73,2.03,0.2,S
2.59,0.84,4.28,0.39,S
1.22,0.61,2.13,0.03,S
0.67,1.03,1.1,0.41,S
1.56,0.45,1.93,0.06,P
1.33,1.08,1.95,0.67,S
0.65,1.43,0.09,0.82,R
2.29,1.11,3.74,0.78,S
0.83,1.35,0.09,0.37,R
0.33,1.19,0.09,0.42,R
0.65,2.48,0.49,2.54,S
1.26,1.05,0.75,0.52,S
3.05,1.15,6.29,0.82,S
0.62,1.04,0.05,0.35,R
0.76,1.72,0.17,0.81,R
1.98,1.0,2.9,0.35,S
1.54,0.81,1.81,0.45,R
2.32,1.15,3.28,0.53,S
1.14,1.01,1.53,0.34,S
1.23,0.71,1.09,0.05,S
0.89,1.44,0.1,0.51,R
0.78,0.62,0.61,0.09,P
1.98,1.02,2.6,0.29,S
2.47,1.33,3.87,0.78,S
1.72,1.18,2.43,0.45,S
1.06,0.92,0.04,0.25,R
2.28,0.9,4.99,0.67,S
0.73,1.56,0.08,0.5,R
0.57,1.07,0.14,0.45,R
1.14,1.75,1.31,1.42,S
0.64,1.08,0.61,0.73,R
1.38,0.58,1.82,0.06,P
0.39,2.12,0.11,0.58,R
1.35,1.22,0.68,1.02,S
2.16,1.1,2.98,0.74,S
0.88,1.05,0.08,0.35,R
0.98,0.73,0.88,0.09,P
0.51,1.67,0.13,0.89,R
0.69,1.26,0.11,0.81,R
2.46,0.89,2.82,0.4,S
0.44,1.67,0.13,1.14,R
1.37,0.49,1.08,0.07,P
1.12,0.39,1.11,0.03,P
0.84,1.57,0.1,0.69,R
0.66,2.76,0.53,3.07,R
0.78,3.24,0.58,1.82,R
1.39,1.3,1.33,0.96,R
1.45,0.64,1.34,0.07,P
2.16,1.01,3.16,0.54,S
0.37,2.36,0.15,4.07,S
2.89,1.3,3.6,0.82,S
1.45,1.47,1.45,0.5,S
1.14,0.51,1.5,0.1,P
0.6,1.81,0.37,0.89,S
0.49,1.72,0.45,2.01,S
1.44,0.49,1.72,0.11,P
1.03,0.68,1.53,0.1,P
0.68,2.09,0.21,1.17,S
1.22,1.08,0.84,0.74,S
1.73,1.02,2.05,0.57,S
0.7,1.73,0.57,1.14,R
0.66,1.87,0.53,1.47,S
1.09,0.71,1.25,0.02,S
1.05,1.04,0.56,0.35,S
0.61,1.06,0.48,0.6,R
1.46,0.99,1.91,0.57,S
0.54,1.86,0.23,1.17,S
0.77,0.89,0.66,0.06,P
0.52,1.01,0.09,0.45,R
2.16,0.59,3.21,0.16,P
1.11,0.91,0.06,0.27,R
0.84,0.37,1.33,0.02,S
0.61,2.01,0.16,0.71,R
1.63,0.82,1.93,0.31,R
1.26,0.73,0.57,0.06,P
0.95,1.09,1.64,0.51,S
2.16,1.05,3.6,0.49,S
0.57,1.37,0.35,1.19,S
0.65,1.62,0.2,1.0,R
1.14,0.58,0.98,0.07,P
1.4,1.2,0.89,0.57,R
0.61,2.25,0.14,0.98,R
1.41,0.54,1.64,0.06,P
1.37,1.16,0.76,0.62,P
2.55,1.03,4.29,0.82,S
1.46,0.75,1.29,0.21,R
1.44,1.08,1.22,0.84,S
1.57,0.46,0.99,0.08,P
1.37,0.86,1.83,0.28,S
0.64,1.4,0.56,0.84,S
1.18,1.15,0.67,0.79,S
