Label,meanEE,meanEF,varRE,varRF
N,0.0,0.004813248869837458,0.005023040486250765,0.0011498533941138927
N,0.05631365239965386,0.08393194153877664,0.0279365036481457,0.0065654447494966255
R,0.0946548625440991,0.26064693575995196,0.046792480535614966,0.10891725277631999
R,0.13698994874525733,0.8551636358316386,0.04983335244437036,0.25419033382178546
R,0.2842974106370233,0.9999999999999999,0.15634409435957672,0.16007483632452824
N,0.4979032150702256,0.7527687153453397,0.4364340784712929,0.01469610515483218
P,0.6577248219396926,0.6605562301581496,0.4733715368463543,0.014293926319544344
P,0.49257804699460817,0.3487484089944845,0.19943228189632084,0.01472743336115253
N,0.31844505092191977,0.20110309715740352,0.17914048523335535,0.09971555843898115
S,0.5674632230579778,0.2692054481880824,0.3686079252508219,0.26002702180774856
S,0.7270185715236638,0.36270536772343576,0.37975129253855605,0.2830859309227809
S,0.443453371497038,0.23889222126314866,0.17326913468523977,0.13768651104976343
N,0.21427145044265467,0.15005925123988706,0.041642812242722815,0.15616625959206717
R,0.3266324968381815,0.4857870173949937,0.1251157145795489,0.4903601043092939
R,0.35112826998602154,0.6331982502596815,0.15413587589869987,0.4685674647090357
N,0.45716567929175267,0.5905666174125497,0.2468798997811717,0.11679777944998972
P,0.7667576382879586,0.7537050312349131,0.5016828883623958,0.008933528264394877
P,0.6641815882313784,0.590551987476775,0.38568877552423353,0.010477970887958581
N,0.28323237702189985,0.27998771085394936,0.08936609652531098,0.009647513406195424
S,0.3265659322372364,0.23178207247670182,0.2034526631986321,0.16610824970477842
S,0.6302336417493176,0.3599695697335889,0.44155509739479437,0.3556989085303516
S,0.5462956799573987,0.3198835457112343,0.33124454166783524,0.20905309266599523
N,0.31431804566331634,0.15997834769505362,0.14065338298353258,0.10872728775315907
N,0.26253078612793723,0.33054876889090457,0.09690519440736813,0.4918624948945846
R,0.3296944684816616,0.7647506327447225,0.13050968448365272,1.0
R,0.3994541702722493,0.6951121384577121,0.20427747974642535,0.6274036351963193
N,0.6273047993077282,0.6200020481910086,0.5015819710876133,0.03579421149195629
P,0.7788058310590428,0.794961450119234,0.5366914897039631,0.06112662920024949
P,0.46967982426945354,0.55643497725045,0.17200689537215924,0.057430266279915355
N,0.2738467682886242,0.3281640893596477,0.10921966267232239,0.1913275963409105
S,0.6316980629701127,0.3745702456366216,0.48736402978351984,0.5512077733305186
S,0.7741463089928776,0.4348016912205755,0.5263365214392836,0.45139426681175004
S,0.4192904213539239,0.2551460799087092,0.14942021032039995,0.1287211204956744
N,0.21407175663981903,0.1974309832779834,0.04933701543896814,0.23038325822903016
R,0.20355454969047465,0.4917267713194739,0.05428354303228085,0.33164704003966833
R,0.2650602409638555,0.4967302093543809,0.17149002087640183,0.21673806049590494
N,0.5415030286893431,0.5266337980776266,0.4437668218372882,0.07301070106313515
P,0.7964454503095254,0.7174666803212735,0.4696327168030286,0.008985250022698541
P,0.5919589962058177,0.4767310871505274,0.23905143811241245,0.009359881399759448
