Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
1.67,2.2,1.7999999999999998,0.03,Paper
2.04,2.01,0.63,0.24,Handshake
1.57,0.75,2.25,0.03,Pinch
1.82,0.48,0.99,0.03,Paper
2.81,0.83,1.29,0.12,Rock
0.64,0.96,0.18,0.21000000000000002,Thumb
0.62,1.27,0.36,0.06,Thumb
0.77,0.76,0.21000000000000002,0.09,Thumb
3.23,0.99,0.8699999999999999,0.36,Handshake
0.64,1.0,0.6000000000000001,0.06,Thumb
3.09,0.41,0.96,0.03,Paper
1.22,1.45,2.07,0.12,Pinch
2.66,0.67,0.33,0.06,Peace
1.74,0.47,1.92,0.03,Pinch
0.78,0.96,0.48,0.06,Handshake
3.13,0.87,0.48,0.0,Scissors
1.46,0.64,0.8699999999999999,0.09,Peace
2.3,0.49,0.8999999999999999,0.06,Thumb
1.15,1.64,0.9299999999999999,1.47,Rock
1.66,0.74,0.9299999999999999,0.03,Paper
1.73,1.02,1.7399999999999998,0.03,Paper
0.96,0.48,0.72,0.03,Scissors
1.91,0.7,2.4000000000000004,0.09,Pinch
1.14,0.34,1.35,0.03,Pinch
1.95,1.91,0.33,1.3800000000000001,Rock
1.38,0.6,0.72,0.06,Peace
0.88,0.32,0.9299999999999999,0.0,Paper
2.59,0.79,1.32,0.03,Paper
1.39,0.62,1.17,0.03,Scissors
1.5,0.61,0.81,0.0,Paper
1.15,0.39,1.7399999999999998,0.03,Paper
2.75,1.03,0.99,0.18,Peace
1.95,1.47,1.44,0.63,Handshake
0.55,0.91,0.09,0.09,Rock
1.31,0.48,2.19,0.03,Pinch
2.03,1.12,2.4000000000000004,0.03,Paper
1.09,0.35,0.78,0.0,Paper
2.77,1.61,1.08,0.0,Paper
2.21,0.66,3.24,0.03,Pinch
0.92,1.0,0.18,0.24,Rock
0.67,0.96,0.42000000000000004,0.30000000000000004,Handshake
1.25,0.93,0.96,0.06,Scissors
0.85,0.71,0.51,0.15000000000000002,Handshake
1.38,0.52,0.96,0.03,Paper
0.58,0.46,0.21000000000000002,0.03,Thumb
0.99,0.47,0.8400000000000001,0.03,Scissors
2.73,1.5,0.9299999999999999,0.44999999999999996,Handshake
1.48,0.59,2.13,0.06,Pinch
3.33,0.9,0.6900000000000001,0.06,Thumb
4.74,0.75,1.08,0.18,Peace
1.44,0.65,0.72,0.06,Handshake
1.46,0.8,1.8900000000000001,0.03,Pinch
0.32,1.4,0.12,0.63,Rock
1.93,3.16,0.33,0.42000000000000004,Rock
1.63,0.93,2.4000000000000004,0.03,Paper
1.06,0.36,1.32,0.03,Pinch
0.64,0.4,0.30000000000000004,0.06,Thumb
2.76,0.97,0.75,0.36,Peace
1.4,1.4,1.1400000000000001,0.03,Paper
3.75,0.48,0.42000000000000004,0.06,Thumb
2.69,0.51,1.29,0.06,Paper
1.9,0.79,2.37,0.15000000000000002,Pinch
1.38,0.53,1.35,0.03,Pinch
3.99,1.0,1.5,0.27,Peace
4.6,0.7,1.77,0.03,Paper
2.55,0.83,1.08,0.03,Paper
0.48,0.73,0.15000000000000002,0.09,Rock
0.63,0.53,0.48,0.03,Handshake
2.49,1.45,3.75,0.03,Paper
4.45,2.64,1.08,0.27,Peace
0.79,0.45,0.63,0.03,Handshake
4.55,1.31,1.35,0.03,Paper
1.36,0.75,1.5,0.03,Pinch
3.38,1.52,0.8999999999999999,0.12,Peace
1.55,0.62,0.81,0.12,Handshake
1.83,0.85,1.08,0.12,Peace
4.14,0.4,0.99,0.03,Pinch
3.23,1.56,0.6000000000000001,1.26,Handshake
4.74,0.68,0.44999999999999996,0.15000000000000002,Thumb
1.53,0.45,1.47,0.03,Pinch
1.09,1.11,0.51,0.75,Rock
4.28,0.99,1.35,0.09,Peace
3.34,0.58,0.51,0.09,Peace
0.55,0.69,0.21000000000000002,0.03,Thumb
1.06,0.53,0.99,0.03,Pinch
2.74,0.66,0.63,0.06,Scissors
1.4,0.38,1.92,0.03,Pinch
4.03,1.08,1.29,0.21000000000000002,Peace
1.25,0.47,1.56,0.03,Pinch
2.23,0.86,1.6500000000000001,0.09,Scissors
1.1,0.45,1.59,0.0,Pinch
4.1,0.81,2.46,0.18,Peace
0.4,2.61,0.09,3.33,Rock
2.56,2.51,0.27,0.6900000000000001,Rock
4.48,1.69,1.2000000000000002,0.33,Peace
3.88,1.74,0.78,1.6500000000000001,Handshake
1.25,0.56,0.72,0.06,Peace
4.45,0.97,0.6900000000000001,0.12,Peace
1.01,0.39,1.62,0.03,Pinch
1.02,2.17,0.36,0.6900000000000001,Rock
1.43,1.4,0.5700000000000001,0.8699999999999999,Handshake
0.53,0.67,0.36,0.03,Thumb
0.78,1.6,0.6000000000000001,0.5700000000000001,Handshake
1.57,0.7,0.15000000000000002,0.03,Thumb
2.08,0.48,1.6500000000000001,0.03,Pinch
1.18,0.35,0.8400000000000001,0.0,Paper
2.24,0.65,0.6900000000000001,0.06,Thumb
1.09,0.76,0.48,0.12,Handshake
2.23,0.48,0.5700000000000001,0.03,Pinch
2.52,0.79,3.0,0.09,Pinch
1.2,0.58,0.75,0.0,Paper
4.68,1.06,2.2199999999999998,0.06,Paper
0.45,2.55,0.18,3.69,Rock
0.28,0.63,0.24,0.06,Thumb
2.28,1.14,1.1099999999999999,0.03,Paper
