Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
1.61,1.67,1.08,0.06,Scissors
2.49,0.99,0.5700000000000001,0.12,Scissors
1.16,0.36,0.9299999999999999,0.0,Paper
0.56,1.22,0.18,0.44999999999999996,Rock
0.97,1.73,0.36,0.66,Rock
2.59,0.79,1.32,0.03,Paper
1.97,1.87,0.36,1.7399999999999998,Rock
3.67,0.86,1.7399999999999998,0.15000000000000002,Rock
2.14,1.31,1.08,0.09,Scissors
1.12,0.8,0.99,0.03,Paper
3.09,1.7,1.2000000000000002,0.06,Scissors
0.89,0.33,0.78,0.0,Paper
1.25,1.79,1.62,1.23,Rock
1.11,0.53,1.2000000000000002,0.06,Scissors
3.94,1.07,2.07,0.03,Paper
3.97,0.6,0.72,0.09,Rock
1.06,0.57,0.8999999999999999,0.03,Paper
0.29,1.39,0.15000000000000002,0.54,Rock
1.07,0.86,1.1099999999999999,0.06,Scissors
1.91,0.98,0.81,0.0,Paper
0.37,1.29,0.15000000000000002,0.6000000000000001,Rock
1.44,0.96,1.47,0.03,Scissors
1.11,0.49,0.96,0.03,Paper
0.41,1.2,0.21000000000000002,0.78,Rock
0.32,0.7,0.18,0.09,Rock
1.12,0.52,1.44,0.06,Scissors
2.49,0.8,1.77,0.12,Rock
0.32,1.4,0.12,0.63,Rock
2.61,1.2,0.27,0.36,Rock
4.15,1.59,1.59,0.15000000000000002,Scissors
4.26,1.06,0.72,0.15000000000000002,Scissors
0.92,1.0,0.18,0.24,Rock
1.08,0.33,1.23,0.03,Paper
1.54,1.61,0.21000000000000002,1.1099999999999999,Rock
1.34,0.35,1.3800000000000001,0.0,Paper
2.94,1.81,0.36,0.5700000000000001,Rock
1.42,1.09,0.8400000000000001,0.03,Paper
0.49,0.97,0.24,0.18,Rock
1.13,1.16,0.18,0.48,Rock
0.48,1.56,0.24,0.6900000000000001,Rock
1.16,0.99,1.17,0.15000000000000002,Scissors
3.5,1.22,0.30000000000000004,0.44999999999999996,Rock
1.0,1.49,1.56,1.1400000000000001,Rock
1.38,0.63,1.08,0.0,Paper
1.67,1.39,0.33,0.6000000000000001,Rock
1.04,0.46,1.26,0.03,Scissors
1.5,0.61,0.81,0.0,Paper
0.66,1.39,0.27,0.5700000000000001,Rock
1.09,1.09,0.96,0.03,Scissors
2.59,0.93,1.47,0.03,Paper
1.9,0.45,1.32,0.03,Paper
1.85,1.67,1.29,0.09,Scissors
0.99,0.47,0.8400000000000001,0.03,Scissors
0.96,0.44,0.9299999999999999,0.03,Scissors
1.74,0.79,0.51,0.0,Paper
0.9,0.62,0.66,0.03,Paper
1.0,0.49,1.02,0.06,Scissors
0.34,0.63,0.15000000000000002,0.06,Rock
2.01,0.96,0.44999999999999996,0.24,Rock
4.01,1.37,1.35,0.12,Scissors
0.49,0.65,0.18,0.09,Rock
0.75,1.35,0.44999999999999996,0.66,Rock
2.33,1.67,1.44,0.03,Paper
1.11,0.57,1.35,0.09,Scissors
0.41,0.63,0.21000000000000002,0.09,Rock
1.51,0.82,0.27,0.21000000000000002,Rock
2.74,0.66,0.63,0.06,Scissors
0.79,0.61,0.8999999999999999,0.12,Scissors
0.25,1.33,0.15000000000000002,0.24,Rock
0.41,2.68,0.21000000000000002,2.88,Rock
1.46,0.63,0.42000000000000004,0.09,Rock
0.96,0.48,0.72,0.03,Scissors
1.12,0.41,0.78,0.0,Paper
1.21,0.67,1.53,0.24,Paper
1.04,1.35,1.1099999999999999,1.53,Rock
1.26,0.53,1.35,0.06,Scissors
3.13,0.87,0.48,0.0,Scissors
1.24,0.73,0.99,0.03,Paper
0.55,1.35,0.15000000000000002,0.75,Rock
0.89,0.47,0.75,0.06,Scissors
1.37,0.74,1.32,0.06,Scissors
0.44,0.75,0.15000000000000002,0.06,Rock
0.94,0.27,0.9299999999999999,0.0,Paper
3.19,0.88,0.54,0.27,Rock
1.16,1.0,1.02,0.03,Paper
3.96,0.9,2.0999999999999996,0.12,Scissors
2.1,0.88,1.41,0.03,Paper
1.72,1.39,0.78,0.03,Paper
0.27,0.77,0.09,0.09,Rock
0.28,1.12,0.15000000000000002,0.18,Rock
3.17,0.7,0.96,0.15000000000000002,Scissors
0.97,0.4,1.0499999999999998,0.0,Paper
