Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
0.73,0.48,0.51,0.06,Thumb
2.75,0.61,0.6000000000000001,0.06,Thumb
3.16,0.65,0.72,0.12,Thumb
2.1,0.88,1.41,0.03,Paper
4.74,0.75,1.23,0.15000000000000002,Peace
1.05,0.91,0.30000000000000004,0.15000000000000002,Thumb
2.1,0.77,0.5700000000000001,0.09,Thumb
1.56,0.72,1.29,0.12,Peace
1.16,1.0,1.02,0.03,Paper
1.97,0.7,1.0499999999999998,0.12,Thumb
1.63,0.47,1.47,0.09,Paper
0.95,0.57,0.44999999999999996,0.06,Peace
1.2,0.58,0.75,0.0,Paper
2.39,1.71,0.18,0.09,Thumb
3.13,1.17,0.27,0.09,Thumb
3.94,1.07,2.07,0.03,Paper
3.65,0.74,2.04,0.15000000000000002,Peace
2.51,0.34,0.33,0.03,Thumb
1.91,0.98,0.81,0.0,Paper
2.33,1.12,1.35,0.09,Peace
0.76,0.78,0.18,0.06,Thumb
4.75,0.77,0.78,0.15000000000000002,Peace
0.8,0.82,0.15000000000000002,0.21000000000000002,Thumb
1.02,0.46,1.0499999999999998,0.06,Paper
0.7,0.83,0.12,0.12,Thumb
3.36,1.32,1.7999999999999998,0.03,Paper
1.12,0.41,0.78,0.0,Paper
3.61,0.67,0.66,0.06,Peace
1.97,1.44,1.59,0.03,Paper
0.9,0.62,0.66,0.03,Paper
1.18,0.56,0.5700000000000001,0.09,Peace
1.66,0.93,3.0300000000000002,0.03,Paper
0.75,0.5,0.72,0.0,Paper
1.63,0.45,0.48,0.09,Peace
4.61,0.97,1.35,0.24,Peace
1.58,0.6,1.77,0.03,Paper
2.83,1.71,0.5700000000000001,0.12,Peace
2.77,1.61,1.08,0.0,Paper
1.77,0.91,2.0100000000000002,0.21000000000000002,Peace
1.9,1.11,0.6900000000000001,0.09,Peace
4.36,0.77,0.72,0.12,Peace
4.53,0.71,0.42000000000000004,0.15000000000000002,Thumb
2.59,0.79,1.32,0.03,Paper
0.62,1.27,0.36,0.06,Thumb
1.4,0.61,0.66,0.03,Thumb
0.49,0.45,0.27,0.03,Thumb
3.61,0.98,0.63,0.09,Peace
2.01,0.71,0.72,0.12,Thumb
1.38,0.6,0.72,0.06,Peace
0.83,0.48,0.15000000000000002,0.03,Thumb
1.78,0.7,0.18,0.06,Thumb
2.71,0.46,0.42000000000000004,0.06,Thumb
4.7,1.62,0.66,0.09,Peace
1.06,0.57,0.8999999999999999,0.03,Paper
0.89,0.43,0.5700000000000001,0.03,Peace
