Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
0.83,1.13,1.16,0.79,0.75,1.79,0.44,1.57,S
0.42,1.14,0.07,0.2,1.68,0.45,1.53,0.43,R
1.22,1.3,1.6,1.23,0.49,0.87,0.92,0.65,S
1.24,1.49,1.69,1.04,0.69,0.82,0.83,1.74,S
0.43,1.55,0.21,1.13,0.57,0.89,0.49,0.74,R
0.41,1.57,0.28,1.43,1.54,0.58,0.7,0.8,R
1.02,0.79,1.58,0.26,0.45,0.89,0.37,0.41,S
0.91,0.62,0.83,0.05,1.2,0.5,0.75,0.57,P
1.03,1.56,0.79,1.31,0.82,1.25,0.89,1.29,S
0.82,0.55,0.61,0.04,1.03,1.25,0.74,1.51,P
0.44,0.71,0.29,0.43,0.84,0.56,0.86,1.2,R
1.47,0.81,1.98,0.04,0.94,1.43,0.63,0.62,P
0.45,1.98,0.26,1.92,0.54,0.93,1.01,0.72,R
0.41,0.74,0.13,0.26,1.65,0.94,0.59,0.53,R
1.1,0.82,0.94,0.04,0.62,1.09,0.94,1.43,P
1.27,0.59,1.45,0.12,0.64,0.89,0.73,0.52,P
0.32,1.54,0.13,0.97,0.64,0.9,1.22,0.7,R
1.11,1.57,1.49,0.98,0.62,1.79,0.95,2.0,S
1.48,1.59,1.71,1.91,0.89,1.29,2.0,1.27,S
0.94,1.94,0.89,1.49,0.45,0.68,0.76,0.76,S
0.5,1.31,0.21,0.94,1.01,1.0,0.36,0.63,R
1.61,1.25,2.0,0.62,0.53,0.99,0.95,0.5,S
0.64,1.46,0.5,0.94,0.97,0.69,0.69,0.67,R
1.01,0.52,1.34,0.12,0.68,1.4,0.96,1.18,P
0.63,1.57,0.31,1.04,0.71,0.19,0.29,0.64,R
0.64,0.9,0.62,0.57,0.69,0.67,0.82,0.53,R
0.51,1.0,0.35,0.47,0.53,0.58,0.69,0.73,R
1.15,1.11,1.69,1.17,2.0,1.27,0.65,0.57,S
1.53,1.67,1.97,1.95,1.21,1.66,0.84,2.0,S
1.06,0.45,1.36,0.07,0.73,0.52,0.73,1.04,P
1.0,1.21,0.88,0.65,0.67,1.19,0.65,0.9,S
0.56,1.61,0.15,0.82,0.43,0.62,0.91,0.89,R
1.31,1.68,1.52,1.61,0.88,1.28,0.57,1.01,S
1.79,1.58,2.49,1.11,0.66,1.59,0.72,0.82,S
1.26,0.61,1.44,0.1,0.88,1.28,0.45,0.51,P
0.99,0.43,1.32,0.09,0.96,1.18,0.33,1.65,P
1.69,1.0,2.3,0.46,1.14,1.64,0.76,0.57,S
1.06,0.96,0.98,0.51,0.87,1.57,0.38,0.92,S
0.6,1.82,0.41,1.48,0.95,1.29,0.76,1.85,R
1.18,1.35,0.97,1.04,1.02,1.79,0.69,1.47,S
0.38,0.87,0.08,0.19,0.7,1.41,1.65,0.94,R
1.01,0.61,0.87,0.14,1.42,1.27,0.47,1.51,P
0.98,0.66,1.67,0.06,0.63,0.62,0.55,0.93,P
1.18,1.23,1.21,0.92,0.69,1.47,0.83,0.74,S
0.59,0.4,0.52,0.03,0.84,1.1,1.08,1.46,P
1.14,1.11,1.06,0.47,0.67,1.04,0.62,1.14,S
0.63,1.49,0.31,1.19,0.56,1.22,0.58,1.51,R
0.47,1.14,0.32,0.44,1.2,0.87,0.84,0.56,R
0.71,1.96,0.55,1.73,0.44,0.86,0.72,0.68,R
1.13,1.45,1.5,1.21,1.16,1.9,0.69,0.82,S
1.09,0.99,1.51,0.43,0.51,1.22,0.44,1.42,P
1.11,0.54,1.22,0.06,0.63,1.57,0.79,0.6,P
1.62,1.31,1.42,0.91,0.97,2.0,0.59,1.87,S
0.43,1.63,0.2,1.2,1.02,1.02,0.57,0.99,R
1.16,0.6,1.33,0.14,0.47,1.51,1.43,0.82,P
0.45,1.8,0.22,1.49,0.31,0.94,0.46,0.87,R
1.17,0.61,1.02,0.12,0.82,0.57,0.64,0.89,P
1.17,1.41,0.78,1.11,0.85,1.6,1.13,1.26,S
1.26,0.65,1.09,0.09,1.03,0.84,1.85,0.75,P
1.11,0.61,1.17,0.11,1.02,1.12,0.71,0.95,P
1.22,1.44,1.59,0.99,0.83,1.74,0.7,0.79,S
0.95,1.72,1.12,1.25,0.95,2.0,0.7,1.76,S
1.34,0.96,2.41,0.45,0.95,0.5,0.77,1.24,S
1.49,1.33,1.87,1.04,0.66,1.79,0.75,1.79,S
1.16,1.33,0.88,1.08,0.93,0.61,0.38,0.43,S
1.06,0.58,1.42,0.07,0.33,1.75,0.7,1.06,P
0.89,1.59,0.78,1.2,0.62,1.97,0.84,0.4,S
0.34,0.86,0.1,0.23,0.55,0.85,0.7,1.41,R
0.38,1.49,0.14,1.01,0.46,0.87,1.01,0.79,R
1.61,0.78,1.84,0.09,1.85,0.75,0.51,1.22,P
0.76,2.41,0.67,2.89,0.76,0.76,0.41,0.74,S
1.24,1.28,1.21,0.74,0.95,1.9,0.82,1.79,S
1.15,1.16,1.36,0.63,0.95,1.09,0.62,1.79,S
0.51,1.77,0.21,1.35,0.44,0.64,0.31,0.94,R
0.51,1.06,0.28,0.83,0.96,0.67,0.37,0.59,R
0.43,1.18,0.1,0.41,1.27,0.63,0.96,0.67,R
0.43,0.98,0.13,0.37,1.53,0.43,0.54,0.65,R
1.48,1.16,2.82,0.65,0.72,0.82,0.85,0.7,S
0.88,1.42,0.87,1.47,0.65,0.9,0.56,0.56,S
1.02,0.52,1.02,0.05,0.75,0.57,0.78,1.33,P
1.46,1.23,1.32,0.68,0.62,1.14,0.87,1.57,S
1.95,0.75,2.3,0.1,0.91,0.97,0.39,0.83,P
0.4,1.09,0.15,0.47,0.48,0.58,0.39,0.51,R
0.37,1.44,0.15,1.0,0.25,1.07,0.54,1.53,R
1.28,0.83,1.06,0.14,1.04,0.95,0.88,1.28,P
1.25,0.7,1.35,0.11,0.71,0.95,0.33,1.75,P
0.78,0.52,0.65,0.05,2.0,0.79,0.84,1.1,P
0.46,1.56,0.23,1.02,0.29,0.64,0.57,0.89,R
1.4,1.07,2.39,0.63,0.4,0.65,0.43,1.01,P
0.39,1.54,0.18,1.14,0.54,1.53,1.01,1.0,R
0.45,2.06,0.3,1.97,1.01,0.72,0.72,0.38,R
0.58,1.38,0.25,0.9,0.91,0.89,0.57,0.81,R
1.48,1.56,1.75,1.64,0.52,1.82,0.65,1.15,S
1.16,1.14,1.35,0.76,0.82,1.79,0.87,0.43,S
0.33,1.17,0.07,0.35,1.26,0.75,0.48,0.58,R
1.33,1.75,1.34,1.75,0.53,1.28,1.21,1.66,S
0.62,1.91,0.46,1.64,0.72,0.68,0.79,0.61,R
0.85,1.3,1.01,0.81,0.7,0.97,0.93,1.33,S
1.22,1.65,0.98,1.29,0.58,1.48,0.66,1.59,S
0.74,0.58,0.42,0.04,0.91,1.4,2.0,0.79,P
1.1,0.46,1.45,0.05,0.79,0.6,0.49,1.08,P
0.44,1.34,0.12,0.49,0.94,1.37,0.71,0.65,R
0.45,1.47,0.18,0.93,0.96,0.62,0.6,0.75,R
0.31,0.98,0.1,0.37,1.71,1.4,0.63,0.89,R
0.41,1.7,0.19,1.36,1.23,0.52,1.54,0.58,R
0.43,1.48,0.17,0.91,0.6,0.75,0.49,0.93,R
0.86,0.96,0.73,0.38,0.53,1.51,0.7,0.97,S
1.13,0.98,0.61,0.03,0.44,1.23,1.02,1.89,P
0.74,1.69,0.52,1.39,0.76,0.64,0.46,1.73,S
1.3,1.8,1.11,1.84,0.59,1.74,0.52,1.82,S
1.52,1.39,2.13,0.62,0.59,1.87,0.92,0.83,S
0.44,1.59,0.22,1.34,0.33,0.89,0.46,0.76,R
0.8,0.55,0.6,0.05,0.43,0.92,0.59,1.84,P
0.41,1.07,0.29,0.51,0.69,0.73,0.57,0.38,R
0.65,1.75,0.61,1.65,0.57,0.99,0.39,0.77,R
0.91,0.43,0.86,0.03,0.59,1.84,0.55,0.44,P
0.48,1.29,0.17,0.57,1.31,0.37,0.43,0.62,R
0.46,1.48,0.26,1.14,1.22,0.7,0.43,0.62,R
1.47,1.03,1.81,0.51,0.66,1.65,0.45,0.89,S
1.07,1.24,0.91,0.39,0.49,0.46,0.93,0.61,S
1.33,1.61,1.34,1.34,0.93,1.01,0.66,1.79,S
2.4,0.91,3.44,0.19,0.39,0.83,0.4,0.65,P
0.35,1.13,0.09,0.31,0.94,0.96,1.2,0.87,R
0.83,1.73,0.63,1.45,0.57,1.29,0.44,0.86,R
1.25,0.82,2.32,0.31,0.76,0.57,0.42,0.7,S
1.81,1.59,2.02,1.24,0.45,0.83,0.97,1.48,S
1.59,1.8,1.93,1.84,0.77,1.13,1.13,2.0,S
0.98,0.47,1.11,0.07,1.43,0.82,0.33,0.72,P
1.11,0.82,1.86,0.12,0.45,0.82,0.93,0.98,P
0.84,0.52,0.84,0.08,1.38,1.15,0.68,1.4,P
0.59,1.26,0.71,1.33,0.88,1.39,0.52,0.52,S
0.33,1.06,0.1,0.36,0.63,0.89,0.75,0.45,R
0.79,1.16,0.62,1.09,0.39,0.77,0.56,0.34,R
0.95,1.87,1.21,1.76,0.84,0.4,0.88,1.39,S
0.52,1.64,0.38,1.58,0.46,1.73,1.0,0.3,S
1.57,1.65,1.94,1.68,0.57,1.01,0.49,0.87,S
1.16,1.14,0.88,0.61,0.83,0.5,0.66,1.65,S
0.61,0.93,0.25,0.4,0.84,0.55,0.53,0.58,R
0.34,1.17,0.08,0.47,0.81,0.9,0.94,1.37,R
0.92,0.44,1.08,0.03,0.74,1.51,0.65,0.51,P
0.46,1.03,0.17,0.42,0.94,0.32,0.44,0.84,R
1.31,1.66,1.5,2.0,0.97,1.72,0.77,1.13,S
0.41,1.38,0.16,0.85,0.49,0.93,0.47,1.07,R
0.4,1.36,0.1,0.79,0.68,0.9,0.97,0.69,R
1.64,0.98,1.98,0.03,1.02,1.89,0.45,0.82,P
0.35,1.07,0.11,0.35,0.62,0.64,0.94,0.32,R
