1,2,3,4
0.13,0.8,0.04,0.37
1.06,0.82,0.79,0.12
0.41,0.48,0.13,0.11
1.86,0.73,2.03,0.2
0.4,1.31,0.17,0.78
0.65,0.35,0.43,0.04
0.4,1.19,0.06,0.64
0.28,0.28,0.1,0.0
0.35,1.2,0.08,0.5
0.49,0.43,0.16,0.0
0.13,0.84,0.04,0.27
0.38,0.71,0.12,0.0
1.87,1.14,2.74,0.54
1.37,0.86,1.83,0.28
0.69,1.26,0.11,0.81
1.3,0.51,1.01,0.12
0.9,0.36,0.55,0.05
1.86,0.84,2.46,0.27
0.54,0.41,0.22,0.03
0.46,0.7,0.22,0.28
1.04,0.38,0.58,0.05
2.16,1.01,3.16,0.54
1.3,0.78,4.02,0.26
0.46,0.4,0.13,0.05
1.04,0.66,0.98,0.19
0.51,0.93,0.17,0.51
0.57,1.23,0.1,0.68
0.58,0.25,0.61,0.01
0.19,1.94,0.06,0.0
0.13,0.65,0.04,0.21
0.56,0.42,0.21,0.06
1.72,1.18,2.43,0.45
0.48,0.5,0.23,0.11
0.72,0.27,0.6,0.01
0.9,0.47,0.4,0.09
1.46,0.75,1.29,0.21
0.89,0.5,0.52,0.11
0.34,1.61,0.16,0.0
0.64,0.97,0.52,0.66
1.12,0.72,1.96,0.26
0.89,0.84,0.04,0.2
0.52,1.01,0.09,0.45
0.95,0.43,0.59,0.06
0.31,0.8,0.05,0.29
0.68,0.46,0.27,0.04
0.99,1.29,0.58,0.73
0.48,0.35,0.3,0.03
0.93,0.65,0.45,0.18
0.74,0.62,0.56,0.05
0.16,0.71,0.04,0.25
1.42,1.0,1.8,0.35
0.68,0.55,0.51,0.05
0.38,0.8,0.19,0.01
0.69,0.41,0.25,0.08
1.38,0.67,1.16,0.24
0.82,0.6,0.56,0.17
2.46,0.89,2.82,0.4
1.24,0.9,0.96,0.22
0.44,1.04,0.25,0.01
0.82,0.59,0.57,0.09
0.95,0.73,0.61,0.27
2.47,1.33,3.87,0.78
0.71,0.71,0.47,0.06
1.47,0.66,1.65,0.22
1.51,0.99,1.33,0.57
1.21,0.79,1.17,0.36
0.79,1.06,0.11,0.49
0.12,0.77,0.03,0.26
0.47,0.45,0.26,0.06
0.4,0.21,0.13,0.0
1.11,0.68,0.88,0.24
1.23,0.76,1.17,0.24
1.14,0.51,1.5,0.1
0.89,0.43,0.72,0.08
0.64,0.43,0.28,0.03
0.43,0.86,0.12,0.31
0.23,0.91,0.06,0.3
0.25,0.82,0.09,0.23
1.38,0.96,1.52,0.58
0.21,0.79,0.08,0.23
0.45,0.65,0.31,0.02
0.12,0.71,0.03,0.23
0.09,1.23,0.02,0.0
1.59,0.83,2.17,0.26
1.24,0.78,1.05,0.24
0.16,0.72,0.05,0.2
1.32,0.79,1.5,0.22
0.81,0.86,0.67,0.6
1.47,0.4,0.87,0.05
1.38,0.88,1.23,0.42
1.95,0.95,2.61,0.17
1.44,0.67,1.67,0.19
